35,Transportation Professional with exposure to public and private sector. He has handled projects from inception to completion. Presently heading a multidisciplinary team to deliver infrastructure projects.,GMD Consultants,Managing Director,1991,M.Tech.,India,Civil Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR117
36,"Working in Design of long span bridges, Tall buildings, Energy Sector, Design of Blast resistant structure, Modular Structure Design, Design to International Standards, Large Capacity Water Retaining Structures.",Petrofac International,Deputy Manager,2001,M.Tech.,United Arab Emirates,Civil Engineering,Core engineering,2,0,1,0,Dubai,Male,CR118
37,"He is recognized as HSE and Sustainability thought leader in Environment, Safety, Health and Human Rights and as jury member for several esteemed industry awards. Is a part of APAC Product Supply Leadership team.",Bayer,Head of HSE - South Asia,1992,B.Tech.,India,Chemical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR119
38,"He has worked in Software development for mobile packet core network (Mobility gateway for 3G/4G). Currently senior software engineer at Cisco systems. Proficient in Programming Languages: C, Core Java, J2EE, PL/SQL",Cisco Systems,Software Engineer,2009,M.Tech.,India,Electrical Engineering,Core engineering,1,0,1,0,Pune,Male,CR120
39,"He has experience in Higher Education, Entrepreneurship Etc. He is Chairman at ASM International, India. Has worked on mega-event Heat Treat show, Jan 29-30, 2010 at Nehru Centre, Worli organised by ASM International",ASTRO METALLURGICAL (I) PVT LTD,Managing Director,1981,M.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,2,0,1,0,Mumbai,Male,CR121
40,Working in Design at Texas Instruments for more than 10 years. 3.5 years of experience in ASIC/EDA. Motivated for consistent improvement and learning. Specialties: Worked on the areas for the tool development and support.,Texas Instruments,Digital Design Manager,2007,M.Tech.,India,Electrical Engineering,Core engineering,1,0,1,0,Bengaluru,Male,CR122
41,"He is an Experienced Technology Specialist with a demonstrated history of working in the Engineering Analysis industry. Strong professional skilled in CFD, Heat Transfer, Turbomachinery, Aerodynamics and FluidStructure Interaction.",Siemens Energy,Manager,2009,M.Tech.,India,Aerospace Engineering,Core engineering,2,0,1,0,Gurgaon,Male,CR123
42,"Managing Engineering of Mega Fertilizers, Refineries, Petrochemical plants all over world. Specialties: Piping engineering / Stress Analysis; Managing Engineering of Mega Fertilizers, Refineries, Petrochemical plants all over world.",Thyssenkrupp Industrial Solutions India Pvt Ltd,Senior General Manager & Head Of Department - Plant Design,1985,B.Tech.,India,Chemical Engineering,Core engineering,4,0,1,0,Mumbai,Male,CR124
43,"Business Development Cooling - East Asia and Pacific, APC by Schneider Electric, Mumbai. Former General Manager - Product Management & Application Engineering at Uniflair India Pvt. Ltd. Former Sr. Manager at Tecumseh Products Company.",Schneider Electric,Director,1997,M.Tech.,India,Mechanical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR125
44,"Founder of a company based in Engineering Consulting. Diverse experience encompassing business development and management, business analysis and solution formulation, marketing, relationship management within chemical engineering industry. ",Shiv Sulphuric Solutions,Founder,2004,M.Tech.,India,Shailesh J. Mehta School of Management,Core engineering,2,0,1,0,Thane,Male,CR126
45,"Expertise in New Product Development, Product Life Cycle management, Value Engineering, DOE as a technique in problem solving, PFMEA. He has published an international paper on Coil Straightening in the Metal Forming Magazine, US Publication.",Costmyze Solutions,Founder Consultant,1982,B.Tech.,India,Mechanical Engineering,Core engineering,2,0,1,0,Mumbai,Male,CR127
46,"His experience till date in Shell have been in the field of Project Management and digital transformation. This included delivering engineering for oil extraction and refining projects, working in projects during construction in a refinery etc.",Royal Dutch Shell,Digital Project Engineer,2015,Dual Degree,India,Chemical Engineering,Core engineering,2,0,1,0,Bengaluru,Male,CR128
47,"He is currently working in International Sales for Land Mobility Division. Experienced Manager with a history of working in the Automotive & Defense industry. Strong professional skill in R&D, Project management, operations, sales and marketing.",Tata Aerospace and Defence,Deputy General Manager (International Business),2011,M.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,4,0,1,0,Mumbai,Male,CR129
48,"He is an Engineering Manager at Tesla. Former Product Development Eng. in Lime Lab. Has done M.Sc in Mech Eng. from Stanford University. Interested in Mech Engineering, Product design, Electronics, Auto-pilot, sensors and engineering management.",Tesla,Senior. Engineering Manager,1987,Dual Degree,United States,Mechanical Engineering,Core engineering,4,0,1,0,San Carlos,Male,CR130
49,Working as a senior lead engineer for SoC design and verification. Ex-Ericsson. An industrious person with articulacy and optimism. Goals to attain a development oriented career and contribute his full potential towards growth of the organisation.,Intel,SOC Design and Verification Engineer,2015,M.Tech.,India,Electrical Engineering,Core engineering,2,0,1,0,Hyderabad,Male,CR131
50,He is responsible for the global commercial delivery of the plant based proteins by business unit for Ingredion Incorporated. This includes marketing and revenue delivery. Previous experience includes a variety of R&D and business development roles,Ingredion Incorporated,"Director, Business Development",1994,B.Tech.,United States,Chemical Engineering,Core engineering,1,0,1,0,Chicago,Male,CR132
51,"He currently heads the IoT group at GS Lab, providing solutions to various industry verticals. Had founded ConnViva Tech. He was a Process Engineer and Materials Scientist. Expert in design-execution-analysis of experiments for process development.",GS Lab,Director of Engineering,2006,B.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,2,0,1,0,Pune,Male,CR133
52,SoC Verification of VLSI designs targeted for Advanced Driver Assistance Systems(ADAS) and Autonomous Driving(AD). Experienced Senior Principal Engineer working in the semiconductors industry. Skilled in UVM and SystemVerilog based SoC Verification.,NXP Semiconductors,Senior Principal Engineer,2002,M.Tech.,India,Electrical Engineering,Core engineering,2,0,1,0,Noida,Male,CR134
53,"He works in Pharmaceutical Industry, R&D and scale up. Currently a Process Engineer at Dr.Reddy Labs. A Chemical Engineer experienced in project management, and process scale-up. Skilled in Mathematical Modeling, Aspen. Strong research professional.",Dr Reddy's Laboratories,Process Engineering Specialist,2013,Dual Degree,India,Chemical Engineering,Core engineering,2,0,1,0,Hyderabad,Male,CR135
54,"42+ years experience in Steel-making and processing industry including electric furnace steel-making, continuous casting hot and cold rolling of flat and long steel products, covering manufacturing, quality control and assurance, product development.",NIL,Retired,1971,B.Tech.,India,Metallurgical Engineering & Materials Science,Core engineering,2,0,1,0,Pune,Male,CR136
55,"Graphics hardware front-end design. Expert in Graphics Architecture, design and verification in VLSI domain. 15 years of experience in Intel graphics and worked on many generation of Internal and Discrete Graphics SOC with muti billon dollar revenue.",Intel,Design Manager,2006,M.Tech.,India,Electrical Engineering,Core engineering,1,0,1,0,Bengaluru,Male,CR137
56,"28 years experience in tech driven industries, 7 years in academics, now with non-profit foundation. 28 years in Computers, Comp-peripherals, Telecom Tech, Software, Mechanical, 7 years in Universities, since last 2 years in Non-profit Social Sector.",WIN Foundation,Director India Operations,1981,B.Tech.,India,Electrical Engineering,Core engineering,2,0,1,0,Ahmedabad,Male,CR138
57,"Working in Environmental Compliance and Sustainability. Work experience prior to General Motors : environmental audit and due diligence assessments, air quality assessments of road development schemes, phase I and II environmental site assessments.

",Ex General Motors,Assistant General Manager,2006,M.Tech.,India,Centre for Environmental Science & Engineering - CESE,Core engineering,2,0,1,0,Pune,Male,CR139
58,"Asst. General Manager at Volvo India Pvt Ltd. Worked at Force Motors and Mahindra & Mahindra previously. Over two decades of work experience in design and development Electrical and Electronic systems, and In-vehicle diagnostic and remote diagnostic.",UD TRUCKS,AGM,2007,M.Tech.,India,Electrical Engineering,Core engineering,1,0,1,0,Bangalore,Male,CR140
59,"He is in the oil and gas industry with Qatar Petroleum. He has worked in technical field as process engineer. Chartered Chemical Engineer from IchemE and UK Engineering Council with over 13 yrs of experience. He has worked in multiple countries.



""",Qatar Petroleum,Senior Process Safety Engineer,2007,B.Tech.,Qatar,Chemical Engineering,Core engineering,2,0,1,0,Doha,Male,CR141
60,"He works with the Narmada Control Authority and his work spans the areas of Interstate River Issues, Structural Engineering, Design of Hydropower Plants, Analysis of Underground Structures, Training and Capacity Building etc.",Narmada Control Authority,Deputy Director,2009,M.Tech.,India,Civil Engineering,Civil Services/Govt. of India,2,0,1,0,Indore,Male,CS101
61,"He is an Indian Administrative Service (IAS) officer of 2016 batch, Bihar Cadre. He is looking after public administration of the district (Vaishali, Bihar) in general, and development administration to be specific.",Government of Bihar,"Deputy Development Commissioner cum Chief Executive Officer, Zila Parishad",2010,B.Tech.,India,Metallurgical Engineering & Materials Science,Civil Services/Govt. of India,3,0,1,0,Patna,Male,CS102
62,"He is presently Assistant Provident Fund Commissioner (APFC) in Employees Provident Fund Organisation (EPFO), a statutory body under Ministry of Labour & Employment, Govt. of India. He was direct recruit APFC from the 2012 Batch.",Ministry of Labour (EPFO),Assistant PF Commissioner,2012,Dual Degree,India,Aerospace Engineering,Civil Services/Govt. of India,2,0,1,0,New Delhi,Male,CS103
63,He previously worked as a management trainee at Johnson & Johnson post an MBA from IIM Calcutta and is currently preparing for the civil service exam.,Preparing for the Civil Services,Not working currently,2017,B.Tech.,India,Chemical Engineering,Civil Services/Govt. of India,4,0,1,0,New Delhi,Male,CS104
64,"Municipal Infrastructure Management. Experienced Service Engineer with a demonstrated history of working in the government administration. Skilled in Analytical Skills, Leadership, Contract Management, Project Management, and Strategic Planning.",Municipalities,Ex Director Technical Service in Local Government,1972,B.Tech.,Australia,Civil Engineering,Civil Services/Govt. of India,1,0,1,0,Melbourne,Male,CS105
65,She is currently serving as Deputy Conservator of Forests in Himachal Pradesh from last 4 years. She has also done an intern at Tata Research Development and Design Centre,Govt of Himachal Pradesh,Indian Forest Service,2013,B.Tech.,India,Chemical Engineering,Civil Services/Govt. of India,0,0,1,0,Dehradun,Female,CS106
66,My work is related to the Indirect Taxes which includes GST and Customs. The core job is related to collect revenue and prevent tax evasion. In addition to this I also look after the administrative aspect of the department.,"Department of Revenue, Ministry of Finance",Assistant Commissioner,2013,B.Tech.,India,Mechanical Engineering,Civil Services/Govt. of India,0,0,1,0,Kolkata,Male,CS107
67,"Served in the Indian Army for 30 years. Providing Engineering Support to all Army Technical Equipment. Job involved repair, maintenance, recovery, indigenisation, reverse engineering, inspection and innovative approach to Equipment issues.",Nil,Retired Defence Service Officer ( Army),1978,B.Tech.,India,Metallurgical Engineering & Materials Science,Civil Services/Govt. of India,0,0,1,0,Pune,Male,CS108
68,Worked as Officer on Special Duty (OSD) at NITI Aayog looking after Infrastructure and Economic sectors. Currently involved in investments and policy advisory roles,NIIF,Principal,2002,B.Tech.,India,Bachelor of Technology - B.Tech.,Civil Services/Govt. of,3,0,1,0,New Delhi,Male,CS109
69,"He is working in R&D- Chassis Design at Ola Electric. He has 8 years experience in R&D, he has also worked for design of the chassis of Land Rover's Discovery sports, Hero's Maestro Edge, Duet Auto- 2&4 wheeler R&D.",Ola Electric Ltd,Senior Manager,2009,M.Tech.,India,Mechanical Engineering,Design,3,0,1,0,Pune,Male,DO101
70,"He is experienced in UX Design, Design Research, Design Entrepreneurship, Architecture, Industrial Design,etc. He has done his PhD from IIEST on Design Strategy.He has worked in companies like Microsoft, InMobi, Tower360, etc..",Atlassian,Lead Designer,2012,M.Des.,India,Industrial Design Centre,Design,2,0,1,0,Bangalore,Male,DO102
71,"He is a versatile Automotive Designer, Design Strategist. He has diverse experience in nurturing many award winning styling/ design projects in automotive, agricultural and construction equipment domains. He has an experience of over 28 years.
",Escorts Limited,Head- Styling Studio,1995,M.Des.,India,Industrial Design Centre,Design,4,0,1,0,Thane,Male,DO103
72,"He has over 18 years of experience in the areas of Corporate Identity/Retail Design, Engineering and Material Science.He is also a Content expert in Corporate identity design and implementation. He has in Shell, Toyota, HPCL, Elephant Design,etc,.
",3M INDIA,General Manager,2002,M.Des.,India,Industrial Design Centre,Design,1,0,1,0,Bangalore,Male,DO104
73,"Design Team Lead with a demonstrated history of working in the furniture industry. Strong arts and design skills with specialisation in Product Design, Design Management, User-centered Design, and Ergonomics.",Godrej Interio,GM - Design,2002,M.Des.,India,Industrial Design Centre,Design,2,0,1,0,Mumbai,Male,DO105
74,"Bio - Product Leader with 5+ years of experience in working with multiple innovative, high growth technology startups, building and shipping products in the B2C mobile and web space, several of them which have over 1 million downloads. Passionate abo",Get My Parking,Senior Product Manager,2011,B.Tech.,India,Aerospace Engineering,Design,0,0,1,0,Mumbai,Male,DO106
75,Working at an ed-tech organisation which creates programs for working professionals. Previously have worked in education sector in startups. I have completed my MBA from IIM Calcutta. Can guide the mentee for MBA/b-schools and options in education/so,UpGrad,Project Manager,2011,Dual Degree,India,Civil Engineering,Design,0,0,1,0,Mumbai,Male,DO107
76,"He was the vice president of PropTiger and the Director ofTradus and Principal and co-founder of clearsenses technologiesFounder at multiple startups. He has long experience in ecommerce, payments, large scale internet systems, blockchain and AI",RedCarpetUp,Founder,2002,B.Tech.,India,Electrical Engineering,Design,0,0,1,0,New Delhi,Male,DO108
77,He has 17.5 yrs of experience in the design field and out of which 11.5 yrs in the field of UX design and rest in the product design field. He has experience in creating user friendly solutions & integrating business requirements into design strategies. ,Varian Medical Systems,Senior UX Designer,2003,M.Tech.,India,Master of Design - M.Des. / M.Design,Design,2,0,1,0,Pune,Male,DO109
78,"He spent four years at Blackstone, in the Private Equity team .He is working at a hedge fund with a focus on growth investing in Indian tech companies",Falcon Edge Capital,Investment Analyst,2016,B.Tech.,India,"Mechanical, Metallurgical Engineering & Materials Sciences, & Mathematics",Finance,1,0,1,0,Bangalore,Male,FN101
79,"Venture Capital, startups, investment banking,He has been the Manager of Carbon Clean Solutions Startup and venture funding, fintech, consumer brands.",Waterfield Advisors,Director,2008,B.Tech.,India,Mechanical Engineering,Finance,1,0,1,0,Mumbai,Male,FN102
80,He consult banking clients on their capital markets practice and help implement his products in their ecosystem .He has specialization in the risk domain.,Finmechanics India Pvt Ltd,Senior Consultant,,B.Tech.,India,Metallurgical Engineering & Materials Science,Finance,2,0,1,0,Mumbai,Male,FN103
81,He retired as Deputy Managing Director from State Bank of India after putting in 38 years of service. He can mentor students in any area related to finance,Central Depository Services Limited,Chairman,2017,M.Sc.,India,,Finance,2,0,1,0,Nagpur,Male,FN104
82,He is the ex-Manager at ICICI Bank for Market Risk- Derivatives and Fixed income .He has also worked as the Software Engineering Analyst at Accenture company,Morgan Stanley,Manager,1976,M.Mgt.,India,Shailesh J. Mehta School of Management,Finance,2,0,1,0,Mumbai,Male,FN105
83,He has worked in strategy consulting and currently working in private equity. He was also the Summer Analyst at Goldman Sachs and the Ex-Associate at BCG company,CVC Capital Partners,Analyst,2002,B.Tech.,India,Physics,Finance,3,0,1,0,Mumbai,Male,FN106
84,"He has worked with Citi for around 3 years in product management and technology. Currently, he is doing MBA at IIM Calcutta.He also runs a startup-business blog.",IIM Culcutta,Student,2017,B.Tech.,India,Chemical Engineering,Finance,2,0,1,0,Kolkata,Male,FN107
85,He is working in Consumer Lending - Acquisitions at Goldman Sachs.He has an avid interest in applications of ML in finance. He completed his MBA from IIM A (2014),Goldman Sachs,Associate,,B.Tech.,United States,Electrical Engineering,Finance,2,0,1,0,Wilmington,Male,FN108
86,He is advising and mentoring startups for the fundraising activities. He is working in consulting for more than 12 years. He has done PGP from IIM Calcutta in 2007,Fern Partners,Partner,2012,B.Tech.,India,Mechanical Engineering,Finance,4,0,1,0,Guwahati,Male,FN109
87,"Co-head Group Strategic Planning. He has 19+ years experience in banking in New York and London, in leading teams with global financial Institutes in New York and London. ",UBS,Executive Director,1994,B.Tech.,United Kingdom,Chemical Engineering,Finance,1,0,1,0,London,Male,FN110
88,"He is working in the private equity sector.He is part of the team at Blackstone India, which is focused on making control-oriented investments in businesses based in India.",Blackstone,Associate,2017,B.Tech.,India,Mechanical Engineering,Finance,2,0,1,0,Mumbai,Male,FN111
89,"He has headed data engineering, data science and data analytics teams for Earnest. This is a fintech company focused on online lending to financially responsible borrowers.",Earnest,Director,2010,B.Tech.,United States,Aerospace Engineering,Finance,2,0,1,0,San Francisco,Male,FN112
90,"He is exploring investments in the renewable energy space, and working with portfolio companies for Tata Industries Ltd, his past experiences includes equity research (finance) at JP Morgan",Tata Industries Ltd.,Senior Analyst,2018,Dual Degree,India,Electrical Engineering,Finance,3,0,1,0,Mumbai,Male,FN113
91,"He has built & led Indian platforms in risk and analytics space for financial services firms.He had a broad exposure to all asset classes. Currently, he is building Indian operations for Agam Capital.",Agam Capital,Director,2000,B.Tech.,India,Electrical Engineering,Finance,1,0,1,0,Mumbai,Male,FN114
92,"His past experience includes EA to MD, CFO with a BPO company, heading International School, Procurement, Internal Audit,he has worked in steel, financial services, real estate and outsourcing industries.",Prism Johnson Limited,Senior General Manager,2001,M.Mgt.,India,Shailesh J. Mehta School of Management,Finance,2,0,1,0,Mumbai,Male,FN115
93,"He has been working in Financial services across Investment Banking (Credit Suisse, Goldman Sachs) and Fintech (InCred, Visa). In his current role, he heads Consumer Credit Products for Visa India and South Asia",Visa Inc,Associate Director,2010,B.Tech.,India,Aerospace Engineering,Finance,3,0,1,0,Mumbai,Male,FN116
94,"Ex-Investment Banking Analyst at Credit Suisse Securities(help corporates raise money via debt, IPO, QIP etc.).Former Bussiness analyst in Fractal Analytics.Has done Masters in International Management form CEMS and MBA from IIM-Calcutta.",Goldman Sachs,Associate,2014,B.Tech.,India,Civil Engineering,Finance,2,0,1,0,Mumbai,Male,FN117
95,"He  runs a startup company which builds software for sports instructors. His prior experience includes sales and trading in commodities and equities, as well as product development and account management in the semiconductor equipment industry.",QSchool Sports LLC,Founder and CEO,1995,Dual Degree ,United States,Chemical Engineering,Finance,2,0,1,0,Trumbull,Male,FN118
96,He has worked in finance trading global markets with investment banks and hedge fund.Ex-Hedge fund portfolio manager at Millenium.He also worked in finance trading global markets with investment banks and with Delta One Swaps at Morgan Stanley.,Morgan Stanley,portfolio manager,2005,B.Tech.,Hong Kong,Computer Science & Engineering,Finance,4,0,1,0,Hong Kong,Male,FN119
97,"He is an Investment Banker at Axis Capital Limited, a subsidiary of Axis Bank. He covers the Auto and Education sectors for IB opportunities. He has background in Software engineering as well and he has worked as a Developer in Adobe for one year",Axis Capital Limited,Manager - Investment Banking,2018,B.Tech.,India,Computer Science & Engineering,Finance,4,0,1,0,Mumbai,Male,FN120
